Electricity_kWh,Generator_Diesel_L,Water_Consumption_kL,Waste_Generated_kg,College_Bus_Distance_km,Sewage_Generated_kL,Temperature_C,Holiday,Scope1_Emissions,Scope2_Emissions,Scope3_Emissions,Total_Emissions
28682.3,101.31,1286.34,717.7,182.82,1127.79,23.2,No,421.78999999999996,20413.19,1363.63,22198.61
29630.43,90.87,1180.75,627.55,163.02,1035.01,23.1,No,377.53,21087.98,1192.34,22657.85
20757.67,71.8,818.53,492.46,132.1,731.1,33.8,Yes,301.01,14773.23,935.67,16009.91
29496.61,88.98,1296.22,686.78,179.75,1071.6,26.3,No,386.22,20992.74,1304.88,22683.84
28189.74,90.72,1142.46,640.28,175.58,1162.94,23.2,No,387.46000000000004,20062.64,1216.53,21666.63
28108.58,96.42,1135.01,648.21,183.74,1032.65,30.8,No,409.44000000000005,20004.88,1231.6,21645.92
29590.29,88.33,1264.37,626.37,177.0,1104.85,29.0,No,382.21000000000004,21059.41,1190.1,22631.72
28647.87,95.5,1123.71,651.99,174.92,1104.86,18.1,No,399.72,20388.69,1238.78,22027.19
30292.78,87.75,1224.88,680.03,189.8,1060.74,30.6,No,391.19,21559.37,1292.06,23242.62
19176.42,64.27,799.03,506.79,131.44,853.06,18.4,Yes,280.28000000000003,13647.86,962.9,14891.04
27525.27,95.11,1315.92,642.62,177.36,1177.6,34.5,No,400.67999999999995,19589.73,1220.98,21211.39
27634.84,101.48,1200.81,672.48,192.99,1056.88,30.3,No,430.61,19667.72,1277.71,21376.04
27749.16,94.68,1181.17,677.51,186.99,1135.82,38.6,No,407.45000000000005,19749.08,1287.27,21443.8
27311.82,91.08,1157.61,592.42,164.67,1151.97,28.5,No,379.45000000000005,19437.82,1125.6,20942.87
26303.82,100.75,1288.46,619.92,171.87,999.47,22.6,No,411.28999999999996,18720.43,1177.85,20309.57
26529.97,96.54,1234.21,674.77,163.73,1063.72,32.5,No,393.32000000000005,18881.38,1282.06,20556.76
19584.68,63.17,856.54,492.55,127.03,732.39,30.4,Yes,273.72,13938.42,935.85,15147.99
26727.26,94.13,1241.47,613.78,188.87,1007.35,28.7,No,407.52,19021.79,1166.18,20595.49
27213.91,92.6,1269.32,715.69,165.51,1094.04,39.9,No,384.22,19368.14,1359.81,21112.17
26017.16,100.32,1251.25,619.93,173.25,1046.32,33.9,No,411.27,18516.41,1177.87,20105.55
26092.99,93.11,1084.04,708.6,185.03,1132.78,36.6,No,401.62,18570.38,1346.34,20318.34
27645.95,91.05,1169.28,643.73,184.57,1073.68,33.5,No,395.73,19675.62,1223.09,21294.44
26062.82,94.55,1280.41,722.5,166.94,1121.31,29.6,No,390.61,18548.91,1372.75,20312.27
18768.6,73.43,894.75,422.99,139.48,759.08,36.2,Yes,311.44,13357.61,803.68,14472.73
27834.89,91.79,1094.22,695.95,177.13,1009.42,27.3,No,391.6,19810.09,1322.31,21524.0
27736.68,102.14,1122.73,665.33,173.69,1024.04,32.4,No,416.51,19740.2,1264.13,21420.84
26405.7,94.45,1257.56,704.63,189.83,1100.43,32.0,No,409.16999999999996,18792.94,1338.8,20540.91
27927.26,97.97,1200.49,698.85,174.67,1186.2,21.5,No,406.14,19875.83,1327.82,21609.79
26494.55,89.62,1308.24,704.73,173.54,1040.54,20.1,No,382.83000000000004,18856.17,1338.99,20577.99
27427.54,89.85,1130.54,722.3,191.52,1124.27,24.5,No,398.23,19520.18,1372.37,21290.78
19759.02,67.19,928.65,449.58,119.69,731.26,27.3,Yes,278.46,14062.49,854.2,15195.15
26716.87,98.62,1315.28,602.6,176.33,996.19,19.8,No,409.24,19014.4,1144.94,20568.58
27681.61,91.4,1209.17,631.03,193.65,1112.36,29.0,No,404.13,19701.0,1198.96,21304.09
26358.39,95.39,1199.4,699.44,185.63,1120.71,20.6,No,408.24,18759.27,1328.94,20496.45
25972.56,89.02,1259.07,601.93,173.88,1006.09,29.7,No,381.5,18484.67,1143.67,20009.84
26854.44,98.71,1318.54,631.12,178.27,1027.68,32.1,No,411.08000000000004,19112.3,1199.13,20722.51
27416.77,97.09,1151.66,685.42,164.99,1130.91,31.9,No,395.82,19512.52,1302.3,21210.64
19895.45,68.48,919.87,505.43,117.41,728.22,30.2,Yes,280.04,14159.59,960.32,15399.95
27008.79,97.01,1168.59,662.29,172.37,1184.3,28.7,No,401.68,19222.16,1258.35,20882.19
28896.09,100.97,1251.89,634.54,172.06,1118.74,18.2,No,412.03000000000003,20565.35,1205.63,22183.01
27601.16,102.05,1098.29,665.57,182.29,1089.18,36.6,No,423.33000000000004,19643.75,1264.58,21331.66
28249.02,99.95,1095.34,625.26,175.16,1001.35,33.7,No,411.85,20104.83,1187.99,21704.67
27791.29,89.19,1139.15,593.91,164.33,1086.78,35.4,No,374.11,19779.06,1128.43,21281.6
28149.26,91.84,1303.13,614.85,173.26,1113.84,32.1,No,388.54999999999995,20033.83,1168.21,21590.59
20040.93,68.51,944.93,435.14,125.86,778.2,26.5,Yes,287.07,14263.13,826.77,15376.97
29460.01,87.57,1103.68,678.78,167.86,1115.73,27.4,No,372.66999999999996,20966.69,1289.68,22629.04
27918.25,97.98,1174.86,660.53,188.22,1066.51,35.6,No,417.30999999999995,19869.42,1255.01,21541.74
27239.14,93.53,1127.68,719.8,184.88,1063.87,27.3,No,402.63,19386.1,1367.62,21156.35
29145.03,96.34,1313.03,599.21,169.14,1168.81,23.4,No,397.22,20742.52,1138.5,22278.24
28956.53,92.64,1203.92,726.31,179.03,1165.06,34.8,No,395.44,20608.36,1379.99,22383.79
29302.09,99.98,1174.61,713.06,190.45,1144.1,20.9,No,424.5,20854.3,1354.81,22633.61
20344.2,67.8,856.46,445.57,117.29,804.52,36.0,Yes,278.11,14478.97,846.58,15603.66
29218.27,94.9,1107.66,605.93,175.77,1055.98,35.6,No,398.81,20794.64,1151.27,22344.72
27345.35,98.74,1161.42,703.03,193.27,1044.44,22.6,No,423.49,19461.69,1335.76,21220.94
27898.45,101.07,1230.46,667.9,168.72,1184.19,20.4,No,409.56,19855.33,1269.01,21533.9
28707.62,99.45,1100.97,703.31,168.74,1012.78,31.2,No,405.22999999999996,20431.21,1336.29,22172.73
28780.12,100.05,1097.09,595.02,164.68,1022.55,20.8,No,403.5,20482.81,1130.54,22016.85
27356.71,99.25,1108.6,711.8,184.86,1091.78,18.9,No,417.94,19469.77,1352.42,21240.13
20241.31,68.07,910.01,491.42,122.45,719.1,23.9,Yes,283.08000000000004,14405.74,933.7,15622.52
27619.84,89.92,1106.21,595.69,179.89,1018.36,19.6,No,388.86,19657.04,1131.81,21177.71
27616.55,93.76,1287.75,621.23,166.6,1169.8,39.9,No,388.23,19654.7,1180.34,21223.27
29048.57,100.74,1302.23,618.2,184.58,995.16,19.0,No,421.70000000000005,20673.87,1174.58,22270.15
28353.24,100.27,1166.8,624.56,162.79,1151.49,22.0,No,402.53000000000003,20179.0,1186.66,21768.19
28661.6,94.09,1260.95,608.66,180.26,992.37,39.2,No,400.33,20398.46,1156.45,21955.24
28876.71,94.61,1303.16,634.7,193.19,1064.57,22.6,No,412.35,20551.55,1205.93,22169.83
19710.94,67.19,828.85,505.58,128.32,790.04,35.7,Yes,285.55,14028.28,960.6,15274.43
27805.87,101.38,1130.95,706.9,175.37,1155.61,39.4,No,415.85,19789.44,1343.11,21548.4
28710.67,91.71,1284.71,721.66,189.62,1073.72,37.9,No,401.65,20433.38,1371.15,22206.18
28190.97,92.99,1252.79,661.44,181.78,1064.59,38.0,No,398.63,20063.51,1256.74,21718.88
27518.07,98.1,1172.88,723.07,192.56,1123.11,39.8,No,421.19000000000005,19584.61,1373.83,21379.63
28756.88,93.02,1290.15,723.08,188.54,1157.21,26.0,No,404.27,20466.27,1373.85,22244.39
27596.99,89.99,1221.08,670.19,166.48,1044.98,21.8,No,378.02,19640.78,1273.36,21292.16
20495.57,67.71,925.85,474.58,127.98,714.8,29.5,Yes,286.66,14586.7,901.7,15775.06
28191.99,101.67,1105.23,614.0,163.63,1041.65,28.2,No,406.98,20064.24,1166.6,21637.82
28223.51,91.51,1159.34,628.51,169.78,1020.67,33.0,No,384.81,20086.67,1194.17,21665.65
27265.79,95.52,1149.41,585.54,176.81,1109.95,25.3,No,401.33000000000004,19405.06,1112.53,20918.92
29300.45,96.79,1238.23,596.48,164.35,1081.79,23.5,No,394.5,20853.13,1133.31,22380.94
27286.29,99.73,1185.09,710.66,166.79,1138.51,37.8,No,404.38,19419.65,1350.25,21174.28
28243.05,89.64,1100.74,669.2,184.27,1015.12,33.9,No,391.71000000000004,20100.58,1271.48,21763.77
21098.98,70.91,822.37,491.93,117.0,817.82,23.0,Yes,286.21,15016.14,934.67,16237.02
27715.88,95.8,1302.8,663.89,174.21,997.43,19.9,No,399.94,19725.39,1261.39,21386.72
28606.3,101.07,1151.61,616.39,168.97,999.1,21.1,No,409.76,20359.1,1171.14,21940.0
28143.25,100.57,1307.87,674.14,190.99,1182.07,39.4,No,426.52,20029.55,1280.87,21736.94
27969.07,91.18,1164.53,597.53,189.97,1073.77,32.9,No,400.52,19905.59,1135.31,21441.42
28812.73,96.15,1106.67,652.89,193.09,1005.05,31.1,No,416.4,20506.02,1240.49,22162.91
29171.89,100.08,1209.47,702.14,183.5,1093.23,28.0,No,419.04999999999995,20761.63,1334.07,22514.75
20094.14,71.49,805.4,430.15,130.36,839.28,21.6,Yes,298.75,14301.0,817.28,15417.03
28020.93,95.64,1117.56,615.81,172.62,1071.78,39.0,No,398.21,19942.5,1170.04,21510.75
28443.23,99.57,1162.68,722.82,165.51,1101.41,21.1,No,402.90000000000003,20243.05,1373.36,22019.31
29077.14,96.01,1178.15,651.44,185.38,1034.66,27.3,No,409.69,20694.2,1237.74,22341.63
27828.93,88.61,1176.62,591.92,163.24,1110.38,20.3,No,371.65,19805.85,1124.65,21302.15
27737.95,100.61,1200.35,664.11,184.0,1027.29,36.8,No,420.88,19741.1,1261.81,21423.79
28873.27,93.92,1295.81,686.27,192.71,1176.9,30.6,No,410.12,20549.11,1303.91,22263.14
20085.36,70.53,865.8,517.64,127.99,784.47,28.6,Yes,294.23,14294.75,983.52,15572.5
27995.63,95.41,1156.95,646.28,182.2,1119.1,22.2,No,405.47,19924.49,1227.93,21557.89
27474.38,94.77,1138.12,604.89,169.86,1141.69,29.3,No,393.6,19553.52,1149.29,21096.41
28405.53,100.27,1105.47,655.51,163.63,1176.02,29.5,No,403.22,20216.22,1245.47,21864.91
28960.5,96.06,1146.22,721.62,185.69,1087.23,25.9,No,410.08,20611.19,1371.08,22392.35
27538.3,98.54,1129.74,720.1,181.03,1088.45,32.3,No,412.9,19599.01,1368.19,21380.1
27540.5,88.42,1307.26,595.29,191.14,1184.27,26.3,No,394.09000000000003,19600.57,1131.05,21125.71
20847.42,65.01,825.12,443.72,117.92,778.11,33.0,Yes,271.15999999999997,14837.11,843.07,15951.34
29043.84,96.3,1225.95,655.75,165.17,1112.62,21.0,No,393.85,20670.5,1245.92,22310.27
29152.89,99.45,1283.42,700.3,170.6,1115.3,18.3,No,406.76,20748.11,1330.57,22485.44
29107.77,89.07,1186.34,675.37,178.08,1091.27,36.3,No,385.09000000000003,20716.0,1283.2,22384.29
27263.07,90.37,1154.06,673.27,184.14,1137.47,30.2,No,393.55,19403.13,1279.21,21075.89
28290.72,95.51,1295.4,602.2,183.18,1073.44,29.5,No,406.53999999999996,20134.51,1144.18,21685.23
27372.07,97.11,1247.88,675.22,178.45,1183.3,29.6,No,406.94,19480.7,1282.92,21170.56
20254.24,70.87,922.3,421.4,117.58,726.88,30.8,Yes,286.58000000000004,14414.94,800.66,15502.18
28959.4,94.52,1093.97,680.34,187.22,1029.67,36.2,No,407.2,20610.4,1292.65,22310.25
27313.56,87.54,1222.73,682.37,193.84,1172.78,39.7,No,393.95000000000005,19439.06,1296.5,21129.51
27450.76,98.71,1282.56,618.27,177.73,1095.13,28.9,No,410.63,19536.71,1174.71,21122.05
28120.43,90.78,1197.93,663.41,181.13,1070.67,38.5,No,392.17999999999995,20013.31,1260.48,21665.97
28871.27,102.28,1148.34,671.4,162.7,1112.36,27.0,No,407.85,20547.68,1275.66,22231.19
29379.39,93.76,1237.7,631.96,175.5,1020.4,24.4,No,395.53999999999996,20909.31,1200.72,22505.57
19720.14,66.61,944.26,446.68,133.0,723.16,30.6,Yes,287.84,14034.82,848.69,15171.35
28537.89,94.51,1165.34,677.62,185.16,1078.58,21.8,No,405.49,20310.42,1287.48,22003.39
27476.36,99.81,1208.34,639.14,162.55,1174.62,39.4,No,401.11,19554.93,1214.37,21170.41
27355.3,92.12,1234.84,726.77,166.99,1079.03,28.3,No,384.15,19468.77,1380.86,21233.78
28219.32,94.28,1276.21,716.3,167.58,1116.74,30.4,No,390.41999999999996,20083.69,1360.97,21835.08
27248.69,93.5,1179.53,606.49,176.93,1040.14,25.5,No,396.02,19392.89,1152.33,20941.24
29390.04,91.5,1157.56,653.7,169.27,1048.99,18.1,No,384.36,20916.89,1242.03,22543.28
20635.42,71.59,938.75,441.91,137.04,719.93,39.8,Yes,304.51,14686.23,839.63,15830.37
28793.53,100.26,1147.22,649.66,193.07,1124.17,33.2,No,427.4,20492.36,1234.35,22154.11
27670.21,96.1,1298.98,604.59,187.2,1035.16,21.6,No,411.43,19692.89,1148.72,21253.04
27203.96,101.23,1130.4,635.78,170.31,1085.37,33.7,No,411.29,19361.06,1207.98,20980.33
27398.78,94.31,1213.78,641.27,174.04,1099.5,20.4,No,395.81,19499.71,1218.41,21113.93
28273.56,98.67,1269.51,685.95,174.07,1032.47,35.6,No,407.53,20122.29,1303.31,21833.13
29031.24,88.45,1159.73,689.61,193.87,1084.74,30.5,No,396.41,20661.53,1310.26,22368.2
20782.8,71.86,908.77,495.33,137.74,733.54,32.0,Yes,305.8,14791.12,941.13,16038.05
28006.62,93.82,1268.74,625.76,172.78,1172.93,31.1,No,393.47,19932.31,1188.94,21514.72
27736.35,95.71,1133.52,625.53,178.48,1116.61,18.3,No,403.21000000000004,19739.96,1188.51,21331.68
27789.45,90.81,1214.41,725.77,162.39,1042.77,20.1,No,376.85,19777.75,1378.96,21533.56
27277.51,92.54,1084.61,701.14,177.23,1114.54,30.6,No,393.69,19413.4,1332.17,21139.26
29175.14,89.93,1170.2,662.19,166.15,1063.73,35.9,No,377.59000000000003,20763.95,1258.16,22399.7
28897.89,101.2,1311.63,689.0,176.91,1092.87,25.1,No,416.64,20566.63,1309.1,22292.37
19621.09,63.31,838.32,469.03,136.31,823.06,19.2,Yes,281.71999999999997,13964.33,891.16,15137.21
27780.44,97.57,1318.98,718.13,182.48,1061.08,39.9,No,411.49,19771.34,1364.45,21547.28
28910.83,87.7,1216.32,602.78,189.89,1150.1,21.8,No,391.13,20575.84,1145.28,22112.25
27386.92,97.58,1234.4,713.75,168.64,1031.24,21.5,No,400.13,19491.27,1356.12,21247.52
28925.97,98.33,1080.14,592.02,176.53,1181.25,31.0,No,408.63,20586.61,1124.84,22120.08
28321.76,97.59,1150.76,715.32,181.06,1125.33,21.7,No,410.37,20156.6,1359.11,21926.08
28752.31,91.23,1116.58,710.68,166.95,1093.54,31.2,No,381.73,20463.02,1350.29,22195.04
20755.54,66.77,854.41,455.65,129.24,768.46,23.3,Yes,285.18,14771.72,865.73,15922.63
28699.67,101.36,1221.43,598.27,183.87,1070.37,34.9,No,422.78,20425.56,1136.71,21985.05
28909.41,90.29,1270.11,656.6,178.3,1068.19,27.9,No,388.53999999999996,20574.83,1247.54,22210.91
29066.63,101.11,1285.05,664.11,192.77,1105.36,22.4,No,429.43000000000006,20686.72,1261.81,22377.96
28952.71,88.29,1116.46,595.99,170.53,1166.16,38.7,No,376.8,20605.64,1132.38,22114.82
28559.29,98.82,1131.62,653.9,164.88,1004.54,20.3,No,400.37,20325.65,1242.41,21968.43
27976.56,101.84,1246.53,687.22,173.91,1071.12,37.7,No,415.88,19910.92,1305.72,21632.52
20278.59,69.5,932.11,476.52,129.39,751.25,37.9,Yes,292.62,14432.27,905.39,15630.28
27226.2,100.39,1101.58,634.64,173.42,997.95,24.9,No,411.6,19376.89,1205.82,20994.31
29416.62,93.61,1316.13,655.35,184.2,1037.0,19.3,No,402.28,20935.81,1245.16,22583.25
27884.34,94.55,1269.55,663.87,166.67,1117.66,25.3,No,390.39,19845.28,1261.35,21497.02
29060.5,98.73,1098.42,672.12,182.8,1083.76,22.2,No,414.86,20682.36,1277.03,22374.25
28582.25,91.45,1192.35,718.64,174.4,1187.67,36.3,No,388.45000000000005,20341.99,1365.42,22095.86
27738.63,92.8,1109.33,655.63,181.79,1032.89,21.0,No,398.13,19741.58,1245.7,21385.41
20269.25,70.24,808.4,520.22,129.89,760.07,19.7,Yes,295.01,14425.63,988.42,15709.06
28390.35,102.17,1104.13,634.68,193.44,1169.6,26.2,No,432.83,20205.41,1205.89,21844.13
29135.3,99.24,1286.89,657.94,175.61,1175.49,26.2,No,410.30999999999995,20735.59,1250.09,22395.99
29185.86,92.26,1137.31,727.53,184.66,1111.72,28.6,No,399.04999999999995,20771.58,1382.31,22552.94
28834.31,95.6,1249.01,688.9,190.84,1054.33,33.7,No,413.08,20521.38,1308.91,22243.37
28014.08,91.87,1114.29,618.24,165.0,1164.44,37.0,No,381.84000000000003,19937.62,1174.66,21494.12
29349.84,100.6,1120.58,695.51,169.22,1156.36,31.2,No,408.71000000000004,20888.28,1321.47,22618.46
20349.28,64.79,781.65,489.96,122.41,766.11,36.3,Yes,274.26,14482.58,930.92,15687.76
28320.7,92.99,1261.87,699.03,191.89,1153.28,37.1,No,406.94,20155.84,1328.16,21890.94
28849.22,88.85,1152.59,722.39,191.76,1084.17,28.6,No,395.75,20531.99,1372.54,22300.28
28815.58,90.78,1138.04,620.23,180.01,1170.99,34.6,No,391.26,20508.05,1178.44,22077.75
29165.99,101.51,1083.4,634.59,194.03,1066.23,32.2,No,431.54,20757.44,1205.72,22394.7
27880.13,89.2,1129.75,700.58,172.62,1051.53,29.1,No,380.95,19842.29,1331.1,21554.34
27781.24,96.32,1266.36,668.06,168.95,1166.67,19.7,No,397.02,19771.91,1269.31,21438.24
21093.05,66.52,799.4,424.44,125.47,811.13,34.9,Yes,281.41,15011.92,806.44,16099.77
27991.13,97.53,1174.5,707.34,170.04,1055.55,20.6,No,401.15,19921.29,1343.95,21666.39
27321.32,97.69,1298.16,692.51,171.08,1022.47,30.0,No,402.44,19444.58,1315.77,21162.79
27995.82,99.5,1200.63,605.99,178.96,1164.77,21.8,No,413.77000000000004,19924.63,1151.38,21489.78
27385.53,93.11,1212.2,611.86,183.82,1034.18,31.3,No,400.63,19490.28,1162.53,21053.44
28364.88,95.13,1146.59,586.47,165.78,1021.76,27.5,No,391.22,20187.29,1114.29,21692.8
27254.63,96.83,1242.44,681.74,182.83,1006.43,26.8,No,409.78999999999996,19397.12,1295.31,21102.22
